"id","title","score","evidence","confidence","scope","observed","gap"
"D06.2","Type/build/contracts/runtime","2","technical-quality.md","Cao với local","Node22 type/buildPASS","Runtime audit khớp majorCI; lint chưa đạt","Neon adapter và deployed artifact chưa kiểm"
"D06.3","Schema,migration,relations,transaction","2","technical-quality.md","Vừa","Schema push + seed + actual submit","DB mới tạo được; attempt/reward trong transaction","Migration nâng cấp dữ liệu,drift,restore U"
"D06.4","SRS/progress/XP/Fucoin invariants","1","technical-quality.md","Cao","Audit DB + security/source tests","ClientXP+12345,replay2attempt và SRSownership gap","Cần server-scored session/idempotency,timezone/concurrency retest"
"D07.1","Auth,role và ownership","1","security-privacy.md","Cao với cases; vừa toàn phạm vi","Source + 7synthetic checks + smoke","Guard hữu ích nhưng AI/sync/session chưa đồng đều","Ingress và Firebase lifecycle deployment U"
"D07.2","Secrets,dependency,input/upload","1","security-privacy.md","Vừa","Current secret/env scans + registry audit","Secrets/envPASS;158advisory entries;missing-secret fallback","History/ignored files/upload quotas/exploitability chưa đầy đủ"
"D07.3","Data flow,retention,xóa","1","security-privacy.md","Vừa","Source/provider map/cache policy","Chatowner/softdelete,TTS7days;private PWA cache gap","Deletion end-to-end/provider/backup retention U"
"D07.4","Nguồn,quyền tài sản,claim,chính sách","U","security-privacy.md","Thiếu bằng chứng","Guidance/doc review","Có yêu cầu guardrail/license,thiếu hồ sơ xác nhận","Không suy ra vi phạm; cần chứng từ và owner chuyên môn"
"D08.1","Tải trang,tương tác,CLS,bundle","1","technical-quality.md","Cao bundle; vừa local","Production bundle + dev HTTP","17routes vượt115KB;dev5/21 vượtbudget","Production browser/field CWV chưa đo"
"D08.2","API/DB/AI latency và error rate","U","technical-quality.md","Thiếu bằng chứng tổng thể","Dev HTTP sample chỉ tham khảo","21HTTP targets200,provider không chạy","Thiếu telemetry production,p95/error rate và cache đúng"
"D08.3","Mạng chậm,timeout,retry,queue","1","technical-quality.md","Vừa","Source/unit/offline synthetic","Có fallback/queue nhưng pending bị clear khi401/500","Latent helper chưa có UIcaller; Slow4G/provider matrix chưa chạy"
"D08.4","PWA,resume và dữ liệu đúng account","1","security-privacy.md","Cao policy; vừa impact","Installed cache policy test","GETauthme/chathistory matchcachechung","Chưa browser replayA→Boffline; cần NetworkOnly/partition+purge"
"D09.1","Tái lập môi trường/dependencies","2","operations.md","Vừa","CI/manifests + local build/seed","Node22/pnpm lock + audit môi trường mới đạt","AI Docker runtime tsx candidate chưa build để xác nhận"
"D09.2","CI gates/skip/evidence","1","operations.md","Cao config; vừa current CI","Workflow + gh historical reads","Có gates;fail quick kéo skipped;lint/bundle gaps","HEAD3217ea0 chưa có run; lịch sử không thay current evidence"
"D09.3","Deploy,rollback,backup,incident","1","operations.md","Vừa","Runbooks/config","Có runbook và owner theo vai;deploy/restore evidence thiếu","Chưa diễn tập RPO/RTO,rollback current build hoặc production restore"
"D09.4","Backlog,tài liệu,truy vết thay đổi","2","operations.md","Vừa","Git+docs+snapshot","Role gate,roadmap,baseline và artifact cụ thể","Dirty tree không phải lỗi; cần release manifest/tag/owner acceptance"
"D10.1","Metric definition/window/cohort/dedup","1","product-ux-analytics.md","Cao","6synthetic reproduction","Weekly bất kỳ range,D7/cohort maturity và unit lệch","Không dùng readout hiện tại làm số liệu tăng trưởng"
"D10.2","UI→event→readout,loại test/trùng","1","product-ux-analytics.md","Cao","Source + UIevent paths","Dashboardclick thiếu;SRS/session actionId gộp sai","Chưa đối soát real events/test-account exclusion"
"D10.3","Activation,retention,recall,transfer","U","product-ux-analytics.md","Thiếu bằng chứng","Beta docs waiting,N/A","Không có cohort thật đủ tuổi hoặc paired learning study","Không gọi completion/XP là tăngCEFR"
"D10.4","Chi phí,doanh thu,khả thi vận hành","1","product-ux-analytics.md","Vừa","Costreader/schema/budgetdocs","Có estimate nhưng thiếuwriter usage,denominator thật","Invoices/revenue/support workload/active learner U"
