finding_id,level,skill,file_path,item_id,dimension,severity,evidence,recommended_fix
F-0011,c1,vocabulary,content/c1/vocabulary/18-finanzmaerkte-regulierung.json,words[34].im Zuge von,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0012,c1,vocabulary,content/c1/vocabulary/20-energiepolitik-ressourcen.json,words[33].im Einklang mit,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0013,c2,vocabulary,content/c2/vocabulary/01-epistemologie-wissenschaftstheorie.json,words[33].zur Disposition stellen,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0014,c2,vocabulary,content/c2/vocabulary/01-epistemologie-wissenschaftstheorie.json,words[34].in Anschlag bringen,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0015,c2,vocabulary,content/c2/vocabulary/02-rechtsphilosophie-justiz.json,words[28].per se,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0016,c2,vocabulary,content/c2/vocabulary/03-sozialpolitik-wohlfahrtsstaat.json,words[27].qua,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0017,c2,vocabulary,content/c2/vocabulary/03-sozialpolitik-wohlfahrtsstaat.json,words[29].ex ante,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0018,c2,vocabulary,content/c2/vocabulary/04-literaturwissenschaft-hermeneutik.json,words[26].in nuce,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0019,c2,vocabulary,content/c2/vocabulary/05-aesthetik-kunstkritik.json,words[18].sui generis,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0020,c2,vocabulary,content/c2/vocabulary/08-politische-rhetorik-demagogie.json,words[27].ad hominem,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0021,c2,vocabulary,content/c2/vocabulary/08-politische-rhetorik-demagogie.json,words[29].en passant,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0022,c2,vocabulary,content/c2/vocabulary/11-mediensemiotik-kommunikationswissenschaft.json,words[14].auf den Prüfstand stellen,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0023,c2,vocabulary,content/c2/vocabulary/12-religionswissenschaft-saekularisierung.json,words[13].par excellence,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0024,c2,vocabulary,content/c2/vocabulary/13-geschichtswissenschaft-erinnerungskultur.json,words[23].im Nachgang zu,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0025,c2,vocabulary,content/c2/vocabulary/13-geschichtswissenschaft-erinnerungskultur.json,words[24].qua Definition,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0026,c2,vocabulary,content/c2/vocabulary/20-diplomatische-sprache-voelkerrecht.json,words[23].mutatis mutandis,D6,P1,"wordType=""PHRASE"" ngoài enum hợp lệ",Sửa wordType về enum hợp lệ (defer)
F-0027,-,-,content/**,schema-drift,D6,P2,"Schema field-naming drift: vocabulary/grammar/course dùng camelCase (meaningVi, article, wordType) vs reading/listening dùng snake_case (teil, teil_name, target_grammar, audio_file). Speaking field drift A1(textDe/textVi/pronunciationNotes) vs A2+(german/vietnamese/pronunciationTips) — xem CHANGELOG.md.",Chuẩn hoá schema ở spec remediation (out-of-scope đợt audit)
F-2001,a1,reading,content/a1/reading/,150 item (cluster),D3,P2,"[boilerplate-explanation-vi] 150 item trong a1/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là rich… (mẫu file: A1-T1-001.json#questions[0].Q1, A1-T1-001.json#questions[1].Q2, A1-T1-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-2002,a2,reading,content/a2/reading/,200 item (cluster),D3,P2,"[boilerplate-explanation-vi] 200 item trong a2/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là b: V… (mẫu file: A2-T1-001.json#questions[0].Q1, A2-T1-001.json#questions[1].Q2, A2-T1-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-2003,b1,reading,content/b1/reading/,250 item (cluster),D3,P2,"[boilerplate-explanation-vi] 250 item trong b1/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là fals… (mẫu file: B1-T1-001.json#questions[0].Q1, B1-T1-001.json#questions[1].Q2, B1-T1-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-2004,b2,reading,content/b2/reading/,250 item (cluster),D3,P2,"[boilerplate-explanation-vi] 250 item trong b2/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là b: 4… (mẫu file: B2-T1-001.json#questions[0].Q1, B2-T1-001.json#questions[1].Q2, B2-T1-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-2005,c1,reading,content/c1/reading/,168 item (cluster),D3,P2,"[boilerplate-explanation-vi] 168 item trong c1/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là b: D… (mẫu file: C1-T2-001.json#questions[0].Q1, C1-T2-001.json#questions[1].Q2, C1-T2-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-2006,c2,reading,content/c2/reading/,264 item (cluster),D3,P2,"[boilerplate-explanation-vi] 264 item trong c2/reading. Ví dụ: Giải thích tiếng Việt là boilerplate, không thực sự giải thích lý do: ""Đáp án đúng là b: R… (mẫu file: C2-T1-001.json#questions[0].Q1, C2-T1-001.json#questions[1].Q2, C2-T1-001.json#questions[2].Q3)",Thay template VI bằng giải thích cụ thể nêu bằng chứng tại sao đáp án đúng (sinh lại từ generator reading hoặc viết tay). Owner: German Content Writer + Localization Specialist.
F-4001,a1,vocabulary,content/a1/vocabulary/17-laender-nationalitaeten.json,words[15].Brasilien,D4,P2,"meaningVi trùng hệt meaningEn (nghi chưa dịch sang Việt): ""Brazil""",Xác nhận có cần dịch sang tiếng Việt hay là loanword hợp lệ (defer)
F-4002,b2,vocabulary,content/b2/vocabulary/06-ernaehrungswissenschaft.json,words[5].Kohlenhydrat,D4,P2,"meaningVi trùng hệt meaningEn (nghi chưa dịch sang Việt): ""carbohydrate""",Xác nhận có cần dịch sang tiếng Việt hay là loanword hợp lệ (defer)
