id,priority,level,file,index,word,wordType,article,articleStatus,plural,pluralStatus,flags,reviewerPrompt,meaningVi,meaningDe,exampleSentence1,reviewerVerdict,reviewerNotes
"content/c1/vocabulary/72-verhaltensforschung.json#words[13]","P1","C1","content/c1/vocabulary/72-verhaltensforschung.json","13","Forschungsethik","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","đạo đức nghiên cứu","Die Gesamtheit der moralischen Regeln, die bei wissenschaftlichen Untersuchungen gelten.","Die Einhaltung der Forschungsethik ist in der Verhaltensforschung von größter Bedeutung, besonders bei Tierversuchen.","",""
"content/c1/vocabulary/74-qualitaetsmanagement.json#words[11]","P1","C1","content/c1/vocabulary/74-qualitaetsmanagement.json","11","Rückverfolgbarkeit","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Khả năng truy xuất nguồn gốc","Die Fähigkeit, den gesamten Entstehungsweg eines Produkts anhand von Dokumenten lückenlos nachzuweisen.","Die vollständige Rückverfolgbarkeit der Produkte ist im Lebensmittelbereich gesetzlich vorgeschrieben.","",""
"content/c1/vocabulary/75-steuerberatung.json#words[9]","P1","C1","content/c1/vocabulary/75-steuerberatung.json","9","Due Diligence","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Thẩm định chuyên sâu (trước khi mua bán, đầu tư)","Eine sorgfältige Prüfung eines Unternehmens vor einem Kauf oder einer Investition.","Vor einer Unternehmensübernahme ist eine umfassende Due Diligence unerlässlich.","",""
"content/c2/vocabulary/06-anthropologie-ethnografie.json#words[23]","P1","C2","content/c2/vocabulary/06-anthropologie-ethnografie.json","23","Doxa","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","doxa, niềm tin phổ biến, ý kiến chung (theo Bourdieu)","Die unhinterfragten, als selbstverständlich angenommenen Meinungen einer Gesellschaft.","Nach Bourdieu sind die Doxa die unhinterfragten und als selbstverständlich hingenommenen Annahmen, die das Fundament eines sozialen Feldes bilden und seine Grenzen definieren.","",""
"content/c2/vocabulary/102-kalter-krieg-bipolaritaet.json#words[17]","P1","C2","content/c2/vocabulary/102-kalter-krieg-bipolaritaet.json","17","Kräftegleichgewicht","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Cân bằng lực lượng","Ein Zustand, in dem die Machtverhältnisse zwischen Staaten so verteilt sind, dass niemand überlegen ist.","Das fragile Kräftegleichgewicht zwischen den Blöcken verhinderte einen direkten Konflikt.","",""
"content/c2/vocabulary/106-bauhaus-modernismus.json#words[16]","P1","C2","content/c2/vocabulary/106-bauhaus-modernismus.json","16","Stahlskelettbauweise","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Phương pháp xây dựng khung thép","eine Bautechnik mit einer tragenden Stahlstruktur","Die Stahlskelettbauweise revolutionierte die Architektur des 20. Jahrhunderts und ermöglichte den Bau von immer höheren und transparenteren Gebäuden.","",""
"content/c2/vocabulary/113-epigenetik.json#words[24]","P1","C2","content/c2/vocabulary/113-epigenetik.json","24","silencen","VERB","","","","","loanword_policy","Decide whether to keep the loanword or replace it with a German equivalent.","Làm im lặng; ngăn chặn hoặc ức chế biểu hiện của một gen (thường là tiếng Anh 'to silence' được sử dụng trong ngữ cảnh khoa học tiếng Đức).","die Expression eines Gens unterdrücken oder ausschalten.","Kleine interferierende RNAs können spezifische Gene silencen.","",""
"content/c2/vocabulary/125-bildungsbegriff-humboldt.json#words[18]","P1","C2","content/c2/vocabulary/125-bildungsbegriff-humboldt.json","18","Geisteswissenschaften","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Khoa học nhân văn, nhân văn học","Wissenschaftliche Disziplinen, die sich mit dem menschlichen Geist, der Kultur und der Geschichte befassen.","Die Geisteswissenschaften sind essentiell für ein tiefes Verständnis menschlicher Kultur und Geschichte.","",""
"content/c2/vocabulary/134-ethnomethodologie.json#words[3]","P1","C2","content/c2/vocabulary/134-ethnomethodologie.json","3","Mitgliedschaft","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tư cách thành viên","der Zustand oder der Status, der jemandem die Zugehörigkeit zu einer Gruppe oder Organisation verleiht","Die Mitgliedschaft in einer sozialen Gruppe impliziert das Beherrschen spezifischer Praktiken und Wissensbestände.","",""
"content/c2/vocabulary/134-ethnomethodologie.json#words[4]","P1","C2","content/c2/vocabulary/134-ethnomethodologie.json","4","Bewährungsarbeit","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Công việc giải trình, thực hành giải trình (xã hội)","die soziale Leistung, durch die eine Person ihre Handlungen für andere nachvollziehbar und rechtfertigbar macht","Die Bewährungsarbeit bezeichnet die ständige Anstrengung von Individuen, ihre Handlungen verständlich und rechenschaftspflichtig zu machen.","",""
"content/c2/vocabulary/143-lacan-lacanian.json#words[17]","P1","C2","content/c2/vocabulary/143-lacan-lacanian.json","17","Jouissance","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Khoái cảm (Jouissance - khái niệm Lacan)","Ein intensives, oft schmerzhaftes Vergnügen, das über den einfachen Genuss hinausgeht.","Jouissance bezeichnet bei Lacan ein intensives, oft exzessives Genießen, das jenseits des Lustprinzips liegt und sowohl lustvoll als auch schmerzhaft sein kann.","",""
"content/c2/vocabulary/144-trauma-forschung.json#words[19]","P1","C2","content/c2/vocabulary/144-trauma-forschung.json","19","Trauma-Informierte Vorgehen","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Cách tiếp cận có hiểu biết về sang chấn","Eine professionelle Herangehensweise, die die Auswirkungen von Traumata systematisch berücksichtigt und in die Praxis integriert.","Das Trauma-Informierte Vorgehen in sozialen Einrichtungen ist essenziell, um die Sicherheit und das Wohlbefinden von Klienten zu gewährleisten.","",""
"content/c2/vocabulary/24-kritische-theorie.json#words[10]","P1","C2","content/c2/vocabulary/24-kritische-theorie.json","10","Pathologie des Sozialen","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Bệnh lý xã hội (khái niệm chỉ các cấu trúc hoặc hiện tượng xã hội gây hại, kìm hãm sự phát triển con người, tương tự như bệnh lý trong y học)","Die Analyse und Beschreibung gesellschaftlicher Zustände, die als krankhaft oder dysfunktional angesehen werden, da sie die menschliche Entfaltung behindern.","Axel Honneths Rekonstruktion der Kritischen Theorie konzentriert sich auf die Analyse der Pathologien des Sozialen, die aus Missachtung und Anerkennungsverlust resultieren.","",""
"content/c2/vocabulary/41-verhaltensökonomie.json#words[13]","P1","C2","content/c2/vocabulary/41-verhaltensökonomie.json","13","libertärer Paternalismus","NOMEN","MASKULIN","","","not_applicable_or_needs_review","example_lexeme_presence_needs_review;plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable. Check that examples clearly demonstrate the target lexeme or an acceptable inflected form.","Chủ nghĩa gia trưởng tự do","ein politisches oder gesellschaftliches Konzept, das die Wahlfreiheit des Einzelnen bewahrt, ihn aber durch die Gestaltung der Umgebung zu vorteilhaften Entscheidungen leitet.","Der libertäre Paternalismus ist ein Konzept, das staatliche oder institutionelle Eingriffe rechtfertigt, um Menschen zu besseren Entscheidungen zu bewegen, während gleichzeitig die Wahlfreiheit erhalten bleibt.","",""
"content/c2/vocabulary/42-oekologische-oekonomie.json#words[6]","P1","C2","content/c2/vocabulary/42-oekologische-oekonomie.json","6","Zirkularität","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính tuần hoàn (nguyên tắc của kinh tế tuần hoàn, không có chất thải và tài nguyên được tái sử dụng liên tục)","Das Prinzip der geschlossenen Materialkreisläufe in einem System.","Die Förderung der Zirkularität in Produktionsprozessen ist entscheidend, um den Druck auf natürliche Ressourcen zu mindern und die Umweltauswirkungen zu reduzieren.","",""
"content/c2/vocabulary/42-oekologische-oekonomie.json#words[9]","P1","C2","content/c2/vocabulary/42-oekologische-oekonomie.json","9","Transdisziplinarität","NOMEN","FEMININ","","","not_applicable_or_needs_review","example_lexeme_presence_needs_review;plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable. Check that examples clearly demonstrate the target lexeme or an acceptable inflected form.","Tính liên ngành/xuyên ngành (phương pháp nghiên cứu và giải quyết vấn đề vượt qua ranh giới các ngành khoa học và bao gồm cả tri thức phi học thuật)","Ein Ansatz, der wissenschaftliche Fachgrenzen überschreitet und auch nicht-akademisches Wissen einbezieht.","Die komplexen Herausforderungen der ökologischen Ökonomie erfordern eine transdisziplinäre Herangehensweise, die verschiedene Wissensformen integriert.","",""
"content/c2/vocabulary/46-gestaltpsychologie.json#words[16]","P1","C2","content/c2/vocabulary/46-gestaltpsychologie.json","16","intersubjektive Verständigung","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","sự hiểu biết liên chủ thể","Ein Prozess des gegenseitigen Verstehens, bei dem verschiedene Personen eine gemeinsame Bedeutungsebene für Informationen finden.","Die intersubjektive Verständigung über gemeinsame Wahrnehmungen und Bedeutungen ist eine Grundlage für soziale Kohäsion und kulturelle Entwicklung.","",""
"content/c2/vocabulary/54-religionsphilosophie.json#words[7]","P1","C2","content/c2/vocabulary/54-religionsphilosophie.json","7","Apodiktische","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính tất yếu, tính hiển nhiên (trong triết học, sự thật không thể nghi ngờ, chắc chắn)","eine Aussage oder Erkenntnis, die als zwingend wahr und unumstößlich gilt","Kants Kritik der reinen Vernunft hinterfragt die Möglichkeit, apodiktische Urteile über metaphysische Gegenstände zu fällen.","",""
"content/c2/vocabulary/58-musikaesthetik.json#words[9]","P1","C2","content/c2/vocabulary/58-musikaesthetik.json","9","Werktreue","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","sự trung thành với tác phẩm (nguyên tắc hoặc hành động duy trì sự trung thực với ý định của nhà soạn nhạc, bản gốc hoặc các yếu tố cốt lõi của một tác phẩm âm nhạc trong quá trình biểu diễn hoặc diễn giải)","Das Bestreben, ein Musikstück so originalgetreu wie möglich gemäß den Anweisungen des Komponisten auszuführen.","Der Begriff der Werktreue ist in der Aufführungspraxis umstritten, da er oft eine idealisierte Vorstellung von der unveränderlichen Essenz eines Werkes impliziert.","",""
"content/c2/vocabulary/61-phenomenologie.json#words[6]","P1","C2","content/c2/vocabulary/61-phenomenologie.json","6","Transzendentalität","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính siêu nghiệm","die Eigenschaft, die über das Empirische hinausgeht und die Struktur aller Erfahrung bestimmt","Husserl versucht, die Transzendentalität des Bewusstseins als Bedingung der Möglichkeit von Erkenntnis aufzuzeigen.","",""
"content/c2/vocabulary/70-europaeisches-recht.json#words[19]","P1","C2","content/c2/vocabulary/70-europaeisches-recht.json","19","Konvergenzkriterien","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Các tiêu chí hội tụ (Maastricht, để gia nhập khu vực đồng euro)","Wirtschaftliche Voraussetzungen, die ein Staat erfüllen muss, um die gemeinsame Währung einzuführen.","Länder, die dem Euroraum beitreten möchten, müssen die Konvergenzkriterien erfüllen.","",""
"content/c2/vocabulary/74-wissenschaftliche-revolution.json#words[8]","P1","C2","content/c2/vocabulary/74-wissenschaftliche-revolution.json","8","theoriegeladener Charakter","NOMEN","MASKULIN","","","not_applicable_or_needs_review","example_lexeme_presence_needs_review;plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable. Check that examples clearly demonstrate the target lexeme or an acceptable inflected form.","Tính chất chứa lý thuyết; ý tưởng rằng mọi quan sát hoặc dữ liệu đều bị ảnh hưởng bởi lý thuyết hoặc mô hình mà người quan sát đang sử dụng.","die Eigenschaft von Beobachtungen oder Daten, dass sie nicht neutral sind, sondern durch die zugrunde liegende Theorie des Beobachters beeinflusst werden","Der theoriegeladene Charakter der Beobachtung ist ein zentrales Argument in Kuhns Kritik am Positivismus.","",""
"content/c2/vocabulary/79-literarische-gattungen.json#words[15]","P1","C2","content/c2/vocabulary/79-literarische-gattungen.json","15","Metatextualität","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính siêu văn bản; mối quan hệ mà một văn bản thiết lập với chính nó hoặc với các văn bản khác bằng cách bình luận, phê bình hoặc tham chiếu đến chúng.","die Eigenschaft eines Textes, sich selbst oder andere Texte durch Kommentar, Kritik oder Bezugnahme zu erwähnen","Ein Roman, der über das Schreiben von Romanen reflektiert, weist eine hohe Metatextualität auf und spielt oft mit Gattungserwartungen.","",""
"content/c2/vocabulary/79-literarische-gattungen.json#words[4]","P1","C2","content/c2/vocabulary/79-literarische-gattungen.json","4","Literarizität","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính văn học; những đặc điểm làm cho một văn bản trở thành văn học, phân biệt nó với các hình thức ngôn ngữ khác.","die Eigenschaften, die ein Text als literarisch auszeichnen und ihn von anderen Sprachformen abheben","Die Frage nach der Literarizität eines Textes ist ein zentrales Problem der Literaturwissenschaft und wird kontrovers diskutiert.","",""
"content/c2/vocabulary/84-netzwerkgesellschaft-castells.json#words[12]","P1","C2","content/c2/vocabulary/84-netzwerkgesellschaft-castells.json","12","Informationalismus","NOMEN","MASKULIN","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Chủ nghĩa thông tin","Eine Gesellschaftsform, in der die Information und deren Verarbeitung die Grundlage für Wirtschaft und Gesellschaft bilden.","Der Informationalismus ist die technologische und ökonomische Basis der Netzwerkgesellschaft, die auf der Fähigkeit zur Erzeugung, Verarbeitung und Verbreitung von Informationen beruht.","",""
"content/c2/vocabulary/85-spieltheorie-nash.json#words[15]","P1","C2","content/c2/vocabulary/85-spieltheorie-nash.json","15","Subgame-Perfektheit","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tính hoàn hảo của trò chơi con (một sự tinh chỉnh của cân bằng Nash, yêu cầu các chiến lược tạo thành một cân bằng Nash trong mọi trò chơi con của trò chơi gốc).","Eine strengere Form des Nash-Gleichgewichts, die verlangt, dass die Strategien auch in jedem Teilspiel optimal sind.","Die Subgame-Perfektheit eliminiert unglaubwürdige Drohungen und Versprechen in sequenziellen Spielen.","",""
"content/c2/vocabulary/86-entwicklungsoekonomie.json#words[5]","P1","C2","content/c2/vocabulary/86-entwicklungsoekonomie.json","5","Good Governance","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Quản trị tốt, quản trị hiệu quả","Eine Form der Regierungsführung, die durch Transparenz, Rechtsstaatlichkeit, Effizienz und Rechenschaftspflicht gekennzeichnet ist.","Good Governance ist eine Voraussetzung für nachhaltige Entwicklung und erfordert Transparenz, Rechenschaftspflicht und Rechtsstaatlichkeit.","",""
"content/c2/vocabulary/90-neuropsychologie.json#words[11]","P1","C2","content/c2/vocabulary/90-neuropsychologie.json","11","Corpus callosum","NOMEN","NEUTRUM","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Thể chai (một bó sợi thần kinh lớn, hình chữ C nằm dưới vỏ não, nối hai bán cầu não)","Ein großes Nervenfaserbündel, das die beiden Gehirnhälften miteinander verbindet.","Patienten mit einer Durchtrennung des Corpus callosum zeigen oft das Phänomen der Split-Brain-Symptomatik.","",""
"content/c2/vocabulary/96-ueberwachungsstaat.json#words[4]","P1","C2","content/c2/vocabulary/96-ueberwachungsstaat.json","4","Freiheitsentzug","NOMEN","MASKULIN","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Tước đoạt tự do","Die Handlung, jemandem seine persönliche Freiheit zu nehmen, zum Beispiel durch Inhaftierung.","Obwohl der physische Freiheitsentzug oft offensichtlich ist, kann digitale Überwachung auch eine subtile Form der Einschränkung individueller Freiheiten darstellen.","",""
"content/c2/vocabulary/96-ueberwachungsstaat.json#words[7]","P1","C2","content/c2/vocabulary/96-ueberwachungsstaat.json","7","Verdatung","NOMEN","FEMININ","","","not_applicable_or_needs_review","plural_morphology_pending","Confirm plural form or mark the noun as normally singular-only/uncountable.","Dữ liệu hóa (quá trình biến đổi thông tin thành dữ liệu)","Die systematische Erfassung und Überführung von realen Lebensvorgängen oder Informationen in ein digitales, maschinenlesbares Format.","Die zunehmende Verdatung aller Lebensbereiche ermöglicht eine umfassende Profilierung von Individuen durch staatliche und private Akteure.","",""
"content/a1/vocabulary/01-person.json#words[42]","P2","A1","content/a1/vocabulary/01-person.json","42","Familienstand","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","tình trạng hôn nhân","Angabe zu Ehe oder Beziehung","Wie ist Ihr Familienstand?","",""
"content/a1/vocabulary/01-person.json#words[7]","P2","A1","content/a1/vocabulary/01-person.json","7","Alter","NOMEN","NEUTRUM","","-","","example_lexeme_presence_needs_review;no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun. Check that examples clearly demonstrate the target lexeme or an acceptable inflected form.","tuổi","die Anzahl der Jahre, die ein Mensch lebt","Wie alt bist du?","",""
"content/a1/vocabulary/03-koerper-gesundheit.json#words[19]","P2","A1","content/a1/vocabulary/03-koerper-gesundheit.json","19","Fieber","NOMEN","NEUTRUM","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","sốt","Eine zu hohe Temperatur des Körpers","Ich habe Fieber.","",""
"content/a1/vocabulary/03-koerper-gesundheit.json#words[30]","P2","A1","content/a1/vocabulary/03-koerper-gesundheit.json","30","Husten","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","ho","Ein Geräusch aus dem Hals, wenn man krank ist","Ich habe Husten.","",""
"content/a1/vocabulary/03-koerper-gesundheit.json#words[31]","P2","A1","content/a1/vocabulary/03-koerper-gesundheit.json","31","Schnupfen","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","sổ mũi","Wenn die Nase nicht frei ist","Ich habe Schnupfen.","",""
"content/a1/vocabulary/04-wohnen.json#words[35]","P2","A1","content/a1/vocabulary/04-wohnen.json","35","Strom","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","điện","Energie für die Lampe oder den Computer.","Der Strom ist teuer.","",""
"content/a1/vocabulary/05-umwelt.json#words[10]","P2","A1","content/a1/vocabulary/05-umwelt.json","10","Wetter","NOMEN","NEUTRUM","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","thời tiết","Der Zustand der Luft im Freien, zum Beispiel Sonne oder Regen.","Wie ist das Wetter?","",""
"content/a1/vocabulary/05-umwelt.json#words[12]","P2","A1","content/a1/vocabulary/05-umwelt.json","12","Regen","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","mưa","Wasser aus den Wolken.","Es gibt Regen.","",""
"content/a1/vocabulary/05-umwelt.json#words[13]","P2","A1","content/a1/vocabulary/05-umwelt.json","13","Schnee","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","tuyết","Weißes, gefrorenes Wasser, das vom Himmel fällt.","Es schneit. Es gibt Schnee.","",""
"content/a1/vocabulary/05-umwelt.json#words[18]","P2","A1","content/a1/vocabulary/05-umwelt.json","18","Natur","NOMEN","FEMININ","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","thiên nhiên","Alles in der Welt, was nicht von Menschen gemacht ist.","Die Natur ist schön.","",""
"content/a1/vocabulary/05-umwelt.json#words[24]","P2","A1","content/a1/vocabulary/05-umwelt.json","24","Luft","NOMEN","FEMININ","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","không khí","Das, was wir atmen.","Die Luft ist frisch.","",""
"content/a1/vocabulary/05-umwelt.json#words[27]","P2","A1","content/a1/vocabulary/05-umwelt.json","27","Himmel","NOMEN","MASKULIN","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","bầu trời","Der Raum über der Erde.","Der Himmel ist blau.","",""
"content/a1/vocabulary/05-umwelt.json#words[28]","P2","A1","content/a1/vocabulary/05-umwelt.json","28","Erde","NOMEN","FEMININ","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","trái đất, đất","Unser Planet oder der Boden unter unseren Füßen.","Die Erde ist rund.","",""
"content/a1/vocabulary/06-essen-trinken.json#words[0]","P2","A1","content/a1/vocabulary/06-essen-trinken.json","0","Essen","NOMEN","NEUTRUM","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","đồ ăn, bữa ăn","Nahrung für den Menschen.","Das Essen ist gut.","",""
"content/a1/vocabulary/06-essen-trinken.json#words[1]","P2","A1","content/a1/vocabulary/06-essen-trinken.json","1","Frühstück","NOMEN","NEUTRUM","","-","","no_plural_marker_needs_policy","Verify whether ""-"" is pedagogically correct for this noun.","bữa sáng","Das Essen am Morgen.","Das Frühstück ist um 8 Uhr.","",""
