file_path,item_id,level,type,teil,prompt,answer,options,key_evidence,de,vi,de_class,prescreen_flags,selection_reason,verdict,error_dimension,note
"content/a2/reading/A2-T1-001.json","Q4","a2","multiple_choice","1","Ab welchem Betrag ist die Lieferung kostenlos?","b","","Die Lieferung ist ab 25 Euro Bestellung kostenlos","Im Text steht: 'Die Lieferung ist ab 25 Euro Bestellung kostenlos.'"," Câu hỏi: „Ab welchem Betrag ist die Lieferung kostenlos?“. Phương án đúng (b): „Ab 25 Euro.“. Bằng chứng trong bài: „Die Lieferung ist ab 25 Euro Bestellung kostenlos“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T1-002.json","Q3","a2","multiple_choice","1","Was hat Herr Vogel über das Fest gesagt?","c","","dass solche Feste für die Nachbarschaft sehr wichtig sind","Im Text steht: 'Er hat gesagt, dass solche Feste für die Nachbarschaft sehr wichtig sind.'"," Câu hỏi: „Was hat Herr Vogel über das Fest gesagt?“. Phương án đúng (c): „Solche Feste sind wichtig für die Nachbarschaft.“. Bằng chứng trong bài: „dass solche Feste für die Nachbarschaft sehr wichtig sind“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T1-002.json","Q5","a2","multiple_choice","1","Wann findet das nächste Fest statt?","b","","Das nächste Fest ist im Juni geplant","Im Text steht: 'Das nächste Fest ist im Juni geplant.'"," Câu hỏi: „Wann findet das nächste Fest statt?“. Phương án đúng (b): „Im Juni.“. Bằng chứng trong bài: „Das nächste Fest ist im Juni geplant“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T1-009.json","Q1","a2","multiple_choice","1","Wann findet die Jobmesse statt?","b","","Am kommenden Samstag","Im Text steht: 'Am kommenden Samstag findet im Rathaus Schöneberg eine große Jobmesse statt.'"," Câu hỏi: „Wann findet die Jobmesse statt?“. Phương án đúng (b): „Am Samstag.“. Bằng chứng trong bài: „Am kommenden Samstag“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T2-001.json","Q1","a2","multiple_choice","2","Wo kann man Brot kaufen?","b","","EG: Obst & Gemüse · Bäckerei · Metzgerei · Kasse 1–8","Die Bäckerei ist im EG (Erdgeschoss)."," Câu hỏi: „Wo kann man Brot kaufen?“. Phương án đúng (b): „Im Erdgeschoss.“. Bằng chứng trong bài: „EG: Obst & Gemüse · Bäckerei · Metzgerei · Kasse 1–8“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-001.json","Q5","a2","multiple_choice","2","Wann hat der Markt geöffnet?","b","","Öffnungszeiten: Mo–Sa 7:00–21:00 Uhr","Die Öffnungszeiten sind: Mo–Sa 7:00–21:00 Uhr."," Câu hỏi: „Wann hat der Markt geöffnet?“. Phương án đúng (b): „Montag bis Samstag, 7:00–21:00 Uhr.“. Bằng chứng trong bài: „Öffnungszeiten: Mo–Sa 7:00–21:00 Uhr“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T2-002.json","Q1","a2","multiple_choice","2","Wo kann man sein Baby wickeln?","b","","EG: Empfang & Anmeldung · Spielzimmer (0–3 Jahre) · Wickelraum · WC","Der Wickelraum ist im EG (Erdgeschoss)."," Câu hỏi: „Wo kann man sein Baby wickeln?“. Phương án đúng (b): „Im Erdgeschoss.“. Bằng chứng trong bài: „EG: Empfang & Anmeldung · Spielzimmer (0–3 Jahre) · Wickelraum · WC“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-002.json","Q2","a2","multiple_choice","2","In welchem Stockwerk ist die Krabbelgruppe?","b","","1. OG: Krabbelgruppe · Eltern-Kind-Turnen · Stillraum","Die Krabbelgruppe ist im 1. OG."," Câu hỏi: „In welchem Stockwerk ist die Krabbelgruppe?“. Phương án đúng (b): „Im 1. Obergeschoss.“. Bằng chứng trong bài: „1. OG: Krabbelgruppe · Eltern-Kind-Turnen · Stillraum“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-003.json","Q1","a2","multiple_choice","2","Wo ist das Wartezimmer?","c","","EG: Rezeption · Wartezimmer · WC · Garderobe","Das Wartezimmer ist im EG (Erdgeschoss)."," Câu hỏi: „Wo ist das Wartezimmer?“. Phương án đúng (c): „Im Erdgeschoss.“. Bằng chứng trong bài: „EG: Rezeption · Wartezimmer · WC · Garderobe“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-003.json","Q3","a2","multiple_choice","2","Wo kann man ein Röntgenbild machen lassen?","c","","2. OG: Labor · Röntgen · EKG · Ruheraum","Röntgen ist im 2. OG."," Câu hỏi: „Wo kann man ein Röntgenbild machen lassen?“. Phương án đúng (c): „Im 2. Obergeschoss.“. Bằng chứng trong bài: „2. OG: Labor · Röntgen · EKG · Ruheraum“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap|de_len_anomaly","flagged","","",""
"content/a2/reading/A2-T2-003.json","Q4","a2","multiple_choice","2","Was muss man zur Praxis mitbringen?","b","","Bitte bringen Sie Ihre Versichertenkarte mit","Man soll die Versichertenkarte mitbringen."," Câu hỏi: „Was muss man zur Praxis mitbringen?“. Phương án đúng (b): „Die Versichertenkarte.“. Bằng chứng trong bài: „Bitte bringen Sie Ihre Versichertenkarte mit“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-003.json","Q5","a2","multiple_choice","2","Was soll man bei einem Notfall tun?","c","","Notfälle ohne Termin: bitte direkt zur Rezeption","Bei Notfällen soll man direkt zur Rezeption gehen."," Câu hỏi: „Was soll man bei einem Notfall tun?“. Phương án đúng (c): „Direkt zur Rezeption gehen.“. Bằng chứng trong bài: „Notfälle ohne Termin: bitte direkt zur Rezeption“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-004.json","Q1","a2","multiple_choice","2","In welchem Stockwerk sind die Sprachkurse?","b","","1. OG: Sprachkurse (Deutsch, Englisch, Spanisch) · Kursräume 101–106","Die Sprachkurse sind im 1. OG."," Câu hỏi: „In welchem Stockwerk sind die Sprachkurse?“. Phương án đúng (b): „Im 1. Obergeschoss.“. Bằng chứng trong bài: „1. OG: Sprachkurse (Deutsch, Englisch, Spanisch) · Kursräume 101–106“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-004.json","Q2","a2","multiple_choice","2","Wo kann man einen Kochkurs machen?","b","","3. OG: Yoga · Pilates · Kochkurse · Kursräume 301–303","Die Kochkurse sind im 3. OG."," Câu hỏi: „Wo kann man einen Kochkurs machen?“. Phương án đúng (b): „Im 3. Obergeschoss.“. Bằng chứng trong bài: „3. OG: Yoga · Pilates · Kochkurse · Kursräume 301–303“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-005.json","Q1","a2","multiple_choice","2","Wann kann man den Hausmeister sprechen?","b","","Sprechzeit: Mo & Do 9:00–11:00 Uhr","Der Hausmeister hat Sprechzeit am Mo & Do 9:00–11:00 Uhr."," Câu hỏi: „Wann kann man den Hausmeister sprechen?“. Phương án đúng (b): „Montag und Donnerstag, 9:00–11:00 Uhr.“. Bằng chứng trong bài: „Sprechzeit: Mo & Do 9:00–11:00 Uhr“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T2-006.json","Q2","a2","multiple_choice","2","Welches Gericht ist vegetarisch?","c","","Gemüse-Pasta (vegetarisch) 10,50 €","Die Gemüse-Pasta ist als vegetarisch markiert."," Câu hỏi: „Welches Gericht ist vegetarisch?“. Phương án đúng (c): „Gemüse-Pasta.“. Bằng chứng trong bài: „Gemüse-Pasta (vegetarisch) 10,50 €“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T2-007.json","Q3","a2","multiple_choice","2","Wie viel kostet ein großes Schließfach pro Tag?","b","","Schließfächer: 3 € (klein) / 5 € (groß) pro Tag","Ein großes Schließfach kostet 5 € pro Tag."," Câu hỏi: „Wie viel kostet ein großes Schließfach pro Tag?“. Phương án đúng (b): „5 Euro.“. Bằng chứng trong bài: „Schließfächer: 3 € (klein) / 5 € (groß) pro Tag“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-009.json","Q1","a2","multiple_choice","2","Wo ist das Bewerbungstraining?","b","","1. OG: Berufsberatung · Bewerbungstraining · Computerarbeitsplätze","Das Bewerbungstraining ist im 1. OG."," Câu hỏi: „Wo ist das Bewerbungstraining?“. Phương án đúng (b): „Im 1. Obergeschoss.“. Bằng chứng trong bài: „1. OG: Berufsberatung · Bewerbungstraining · Computerarbeitsplätze“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-009.json","Q2","a2","multiple_choice","2","Was soll man am Eingang tun?","b","","Bitte ziehen Sie eine Wartenummer am Automaten im EG","Man soll eine Wartenummer am Automaten ziehen."," Câu hỏi: „Was soll man am Eingang tun?“. Phương án đúng (b): „Eine Wartenummer ziehen.“. Bằng chứng trong bài: „Bitte ziehen Sie eine Wartenummer am Automaten im EG“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T2-009.json","Q5","a2","multiple_choice","2","Was soll man zum Termin mitbringen?","b","","Bitte bringen Sie Ihren Personalausweis und Lebenslauf mit","Man soll Personalausweis und Lebenslauf mitbringen."," Câu hỏi: „Was soll man zum Termin mitbringen?“. Phương án đúng (b): „Personalausweis und Lebenslauf.“. Bằng chứng trong bài: „Bitte bringen Sie Ihren Personalausweis und Lebenslauf mit“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T2-010.json","Q3","a2","multiple_choice","2","Wie viel kostet der Eintritt zum Stadtfest?","c","","Eintritt frei!","Der Eintritt ist frei."," Câu hỏi: „Wie viel kostet der Eintritt zum Stadtfest?“. Phương án đúng (c): „Der Eintritt ist frei.“. Bằng chứng trong bài: „Eintritt frei!“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_len_anomaly","flagged","","",""
"content/a2/reading/A2-T3-001.json","Q1","a2","matching","3","Luisa isst kein Fleisch und keine Milch. Sie sucht ein Geschäft mit nur pflanzlichen Produkten.","D","","100 % pflanzliche Produkte","Anzeige D ist für den veganen Supermarkt „PlantPower“ mit 100 % pflanzlichen Produkten.","Tình huống „Luisa isst kein Fleisch und keine Milch. Sie sucht ein Geschäft mit nur pflanzlichen Produkten.“ khớp với mục D. Bằng chứng trong bài: „100 % pflanzliche Produkte“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-001.json","Q5","a2","matching","3","Familie Braun möchte jede Woche Bio-Obst und -Gemüse nach Hause geliefert bekommen.","A","","Jede Woche frisches Obst und Gemüse direkt vom Bauernhof. Lieferung jeden Mittwoch","Anzeige A bietet eine Bio-Kiste mit wöchentlicher Lieferung von Obst und Gemüse.","Tình huống „Familie Braun möchte jede Woche Bio-Obst und -Gemüse nach Hause geliefert bekommen.“ khớp với mục A. Bằng chứng trong bài: „Jede Woche frisches Obst und Gemüse direkt vom Bauernhof. Lieferung jeden Mittwoch“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-002.json","Q4","a2","matching","3","Lisa sucht eine Betreuung für ihre kleine Tochter (2 Jahre), weil sie wieder arbeiten möchte.","A","","Tagesmutter hat ab April einen Platz frei. Kinder 1–3 Jahre. Mo–Fr 8:00–15:00","Anzeige A ist eine Tagesmutter für Kinder 1–3 Jahre, Mo–Fr 8:00–15:00.","Tình huống „Lisa sucht eine Betreuung für ihre kleine Tochter (2 Jahre), weil sie wieder arbeiten möchte.“ khớp với mục A. Bằng chứng trong bài: „Tagesmutter hat ab April einen Platz frei. Kinder 1–3 Jahre. Mo–Fr 8:00–15:00“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-003.json","Q2","a2","matching","3","Saras Rücken tut weh. Sie kann aber erst nach 18 Uhr einen Termin machen.","B","","Rückenprobleme? Wir helfen! Termine auch abends bis 20 Uhr","Anzeige B bietet Physiotherapie auch abends bis 20 Uhr.","Tình huống „Saras Rücken tut weh. Sie kann aber erst nach 18 Uhr einen Termin machen.“ khớp với mục B. Bằng chứng trong bài: „Rückenprobleme? Wir helfen! Termine auch abends bis 20 Uhr“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-006.json","Q1","a2","matching","3","Tina plant eine große Geburtstagsfeier zu Hause. Sie möchte das Essen nicht selbst kochen.","C","","Catering für Ihre Feier! Geburtstag, Hochzeit, Firmenfeier","Anzeige C bietet Catering für Feiern ab 15 € pro Person.","Tình huống „Tina plant eine große Geburtstagsfeier zu Hause. Sie möchte das Essen nicht selbst kochen.“ khớp với mục C. Bằng chứng trong bài: „Catering für Ihre Feier! Geburtstag, Hochzeit, Firmenfeier“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-006.json","Q2","a2","matching","3","Am Sonntagmorgen möchte Max mit seiner Familie gemütlich frühstücken gehen.","B","","Sonntagsbrunch im Hotel Seeblick! Jeden Sonntag 10:00–14:00. Großes Buffet","Anzeige B bietet einen Sonntagsbrunch mit großem Buffet.","Tình huống „Am Sonntagmorgen möchte Max mit seiner Familie gemütlich frühstücken gehen.“ khớp với mục B. Bằng chứng trong bài: „Sonntagsbrunch im Hotel Seeblick! Jeden Sonntag 10:00–14:00. Großes Buffet“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-006.json","Q3","a2","matching","3","Ali hat am Abend keine Lust zu kochen. Er möchte Pizza bestellen und nach Hause liefern lassen.","F","","Pizza-Lieferdienst. Lieferung in 30 Minuten oder gratis","Anzeige F ist ein Pizza-Lieferdienst, täglich 17:00–23:00.","Tình huống „Ali hat am Abend keine Lust zu kochen. Er möchte Pizza bestellen und nach Hause liefern lassen.“ khớp với mục F. Bằng chứng trong bài: „Pizza-Lieferdienst. Lieferung in 30 Minuten oder gratis“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-007.json","Q5","a2","matching","3","Julia braucht nur für ein paar Stunden ein Auto. Sie möchte flexibel sein und kein Auto für den ganzen Tag mieten.","F","","ShareNow Carsharing: Autos finden und sofort losfahren! Ab 0,29 €/Minute","Anzeige F ist ShareNow Carsharing, ab 0,29 €/Minute, spontan nutzbar.","Tình huống „Julia braucht nur für ein paar Stunden ein Auto. Sie möchte flexibel sein und kein Auto für den ganzen Tag mieten.“ khớp với mục F. Bằng chứng trong bài: „ShareNow Carsharing: Autos finden und sofort losfahren! Ab 0,29 €/Minute“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-008.json","Q1","a2","matching","3","Sandra liest sehr gern. Sie möchte mit anderen Leuten über Bücher sprechen.","F","","Buchclub sucht neue Mitglieder! Wir lesen jeden Monat ein Buch und treffen uns zum Diskutieren","Anzeige F ist der Buchclub, der monatlich ein Buch liest und diskutiert.","Tình huống „Sandra liest sehr gern. Sie möchte mit anderen Leuten über Bücher sprechen.“ khớp với mục F. Bằng chứng trong bài: „Buchclub sucht neue Mitglieder! Wir lesen jeden Monat ein Buch und treffen uns zum Diskutieren“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-008.json","Q4","a2","matching","3","Elena ist 35 und kann nicht schwimmen. Sie möchte es jetzt endlich lernen.","B","","Schwimmkurs für Erwachsene. Sie können nicht schwimmen? Kein Problem!","Anzeige B bietet einen Schwimmkurs für Erwachsene, auch für Nichtschwimmer.","Tình huống „Elena ist 35 und kann nicht schwimmen. Sie möchte es jetzt endlich lernen.“ khớp với mục B. Bằng chứng trong bài: „Schwimmkurs für Erwachsene. Sie können nicht schwimmen? Kein Problem!“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-009.json","Q1","a2","matching","3","Ahmed ist vor 2 Jahren nach Deutschland gekommen. Er möchte lernen, wie man eine gute Bewerbung schreibt.","E","","Bewerbungstraining für Migranten. Lebenslauf schreiben, Vorstellungsgespräch üben. Kostenlos!","Anzeige E bietet kostenloses Bewerbungstraining für Migranten.","Tình huống „Ahmed ist vor 2 Jahren nach Deutschland gekommen. Er möchte lernen, wie man eine gute Bewerbung schreibt.“ khớp với mục E. Bằng chứng trong bài: „Bewerbungstraining für Migranten. Lebenslauf schreiben, Vorstellungsgespräch üben. Kostenlos!“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-010.json","Q1","a2","matching","3","Frau Vogt möchte am Wochenende günstige Sachen kaufen: Bücher, Kleidung und Möbel.","A","","Großer Flohmarkt. Über 200 Stände: Kleidung, Möbel, Bücher, Spielzeug. Eintritt frei","Anzeige A ist der Flohmarkt im Mauerpark mit Kleidung, Möbeln und Büchern.","Tình huống „Frau Vogt möchte am Wochenende günstige Sachen kaufen: Bücher, Kleidung und Möbel.“ khớp với mục A. Bằng chứng trong bài: „Großer Flohmarkt. Über 200 Stände: Kleidung, Möbel, Bücher, Spielzeug. Eintritt frei“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T3-010.json","Q2","a2","matching","3","Ben (10 Jahre) möchte am Sonntag draußen spielen und malen. Seine Eltern suchen eine kindgerechte Veranstaltung.","C","","Kinderfest am Lietzensee! Hüpfburg, Clown, Malen und Basteln","Anzeige C ist das Kinderfest mit Hüpfburg, Clown, Malen und Basteln.","Tình huống „Ben (10 Jahre) möchte am Sonntag draußen spielen und malen. Seine Eltern suchen eine kindgerechte Veranstaltung.“ khớp với mục C. Bằng chứng trong bài: „Kinderfest am Lietzensee! Hüpfburg, Clown, Malen und Basteln“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","","stratified","","",""
"content/a2/reading/A2-T3-010.json","Q3","a2","matching","3","Herr und Frau Wagner (beide 45) mögen Wein und möchten an einem Abend verschiedene Weine probieren.","E","","Weinprobe. 6 Weine + kleine Snacks. 25 € pro Person","Anzeige E bietet eine Weinprobe mit 6 Weinen und Snacks.","Tình huống „Herr und Frau Wagner (beide 45) mögen Wein und möchten an einem Abend verschiedene Weine probieren.“ khớp với mục E. Bằng chứng trong bài: „Weinprobe. 6 Weine + kleine Snacks. 25 € pro Person“. Yêu cầu trong tình huống được đáp ứng đúng ở mục này.","translate-only","de_low_evidence_overlap","flagged","","",""
"content/a2/reading/A2-T4-001.json","Q3","a2","detail_extraction","4","Wie hoch ist der Mindestbestellwert am Samstag?","c","","Samstag: Mindestbestellwert 30 €","Am Samstag beträgt der Mindestbestellwert 30 €."," Câu hỏi: „Wie hoch ist der Mindestbestellwert am Samstag?“. Phương án đúng (c): „30 €.“. Bằng chứng trong bài: „Samstag: Mindestbestellwert 30 €“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T4-002.json","Q3","a2","detail_extraction","4","Wer leitet den Musikgarten?","c","","Musikgarten: Kursleiter/in Herr Richter","Herr Richter leitet den Musikgarten."," Câu hỏi: „Wer leitet den Musikgarten?“. Phương án đúng (c): „Herr Richter.“. Bằng chứng trong bài: „Musikgarten: Kursleiter/in Herr Richter“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T4-007.json","Q1","a2","detail_extraction","4","Wann fährt der erste Bus am Montag von Am Waldrand ab?","b","","Am Waldrand: Mo–Fr 6:15","Der erste Bus Mo–Fr von Am Waldrand fährt um 6:15 ab."," Câu hỏi: „Wann fährt der erste Bus am Montag von Am Waldrand ab?“. Phương án đúng (b): „Um 6:15 Uhr.“. Bằng chứng trong bài: „Am Waldrand: Mo–Fr 6:15“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","","stratified","","",""
"content/a2/reading/A2-T4-007.json","Q2","a2","detail_extraction","4","Wie lange dauert die Fahrt von Am Waldrand bis zum Hauptbahnhof?","b","","Am Waldrand 6:15 → Hauptbahnhof 6:45","Von 6:15 bis 6:45 sind es 30 Minuten."," Câu hỏi: „Wie lange dauert die Fahrt von Am Waldrand bis zum Hauptbahnhof?“. Phương án đúng (b): „30 Minuten.“. Bằng chứng trong bài: „Am Waldrand 6:15 → Hauptbahnhof 6:45“. Các phương án còn lại không khớp với thông tin trong bài.","translate-only","de_low_evidence_overlap","flagged","","",""
